"","","","Category","Total Unique Visitors (000)","% Reach","% Composition Unique Visitors","Composition Index UV","Composition Index PV","Average Daily Visitors (000)","Total Minutes (MM)","Total Pages Viewed (MM)","Total Visits (000)","Average Minutes per Visit","Average Visits per Visitor"
"","[G](U)","                    Yahoo Voices Home Improvement","Lifestyles, Lifestyles - Home","381.642","0.17","100","100","100","22.174","0.618","0.677","682.943","0.906","1.789"
"","[G](U)","                    Shine Canada","Lifestyles","161.636","0.072","100","100","100","17.622","0.489","0.721","528.649","0.924","3.271"
"","[G](U)","                    Yahoo Voices Creative Writing","Lifestyles","63.787","0.028","100","100","100","4.025","0.138","0.141","120.754","1.145","1.893"
"","[G]","                    ANDERSONCOOPER.COM","Entertainment, Entertainment - TV","27.043","0.012","100","100","100","0.935","0.013","0.028","28.044","0.466","1.037"
"","[G]","                    Shine Green","Lifestyles, Lifestyles - Green","15.567","0.007","100","100","","","","","","",""
"","[S](u)","                Yahoo Health","Health, Health - Information","8784.283","3.913","100","100","100","406.599","22.219","27.899","12505.257","1.777","1.424"
"","[G](u)","                    Yahoo U.S. Health","Health - Information, Health","7992.146","3.56","100","100","100","365.445","20.079","26.007","11207.116","1.792","1.402"
"","[G](U)","                    Yahoo Voices Health & Wellness","Health","1006.271","0.448","100","100","100","42.658","1.947","1.559","1356.867","1.435","1.348"
"","[S](U)","                Yahoo Lifestyle","Lifestyles","625.444","0.279","100","100","100","122.712","7.411","7.997","4047.268","1.831","6.471"
"","[G](U)","                    Yahoo7 Lifestyle","Lifestyles","157.215","0.07","100","100","100","7.807","0.378","0.895","299.329","1.264","1.904"
"","[G](U)","                    Yahoo India Lifestyle","Lifestyles","124.544","0.055","100","100","100","51.982","3.605","3.46","1727","2.087","13.867"
"","[G](U)","                    Yahoo UK & Ireland Lifestyle","Lifestyles","121.658","0.054","100","100","100","11.335","0.559","0.399","349.054","1.602","2.869"
"","[G]","                    Yahoo Philippines She","Lifestyles","71.974","0.032","100","100","","","","","","",""
"","[G](U)","                    Yahoo Spain Tendencias","Lifestyles","71.759","0.032","100","100","100","9.691","0.66","0.693","297.206","2.221","4.142"
"","[G](U)","                    Yahoo Vietnam Lifestyle","Lifestyles","36.402","0.016","100","100","100","19.149","1.216","0.906","641.795","1.894","17.631"
"","[G]","                    Yahoo France Pour Elles","Lifestyles","23.002","0.01","100","100","","","","","","",""
"","[S](U)","                Yahoo Mujer","Lifestyles","128.325","0.057","100","100","100","25.721","1.091","1.157","806.444","1.353","6.284"
"","[C](U)","            Yahoo - Zillow Real Estate Network","Real Estate","28463.473","12.68","100","100","100","2901.4","467.888","470.42","103366.787","4.526","3.632"
"","[S](U)","                Zillow Inc. Sites","Real Estate","21185.182","9.437","100","100","100","2360.049","426.315","387.179","86809.881","4.911","4.098"
"","[G](U)","                    ZILLOW.COM","Real Estate","20496.68","9.131","100","100","100","2312.848","413.071","357.771","85375.343","4.838","4.165"
"","[SG](U)","                        ZILLOW.COM Rentals","Real Estate","3593.981","1.601","100","100","100","490.504","47.005","43.522","16445.536","2.858","4.576"
"","[G](U)","                    HOTPADS.COM","Real Estate","1197.274","0.533","100","100","100","58.074","10.92","19.521","2060.093","5.3","1.721"
"","[G](U)","                    POSTLETS.COM","Directories/Resources - Classifieds, Directories/Resources","321.084","0.143","100","100","100","24.849","2.325","4.933","769.971","3.019","2.398"
"","[G]","                    STREETEASY.COM","Real Estate","237.986","0.106","100","100","100","10.478","1.799","3.561","483.182","3.723","2.03"
"","[G]","                    DIVERSESOLUTIONS.COM","Corporate Presence","229.383","0.102","100","100","100","9.801","0.722","1.386","312.229","2.314","1.361"
"","[S](U)","                Yahoo Homes","Real Estate","9240.734","4.116","100","100","100","573.487","41.572","83.24","17885.169","2.324","1.935"
"","[C](U)","            Yahoo TV","Entertainment, Entertainment - TV","20448.28","9.109","100","100","100","2012.362","141.934","172.995","65628.103","2.163","3.209"
"","[S](U)","                Yahoo U.S. TV","Entertainment, Entertainment - TV","20209.827","9.003","100","100","100","1992.064","140.739","171.968","64981.994","2.166","3.215"
"","[S](U)","                Yahoo7 TV","Entertainment - TV, Entertainment","123.229","0.055","100","100","100","6.225","0.375","0.302","199.004","1.883","1.615"
"","[S]","                Yahoo Spain TV","Entertainment, Entertainment - TV","28.26","0.013","100","100","","","","","","",""
"","[S]","                Yahoo New Zealand TV","Entertainment, Entertainment - TV","0.819","0","100","100","","","","","","",""
"","[C](U)","            Flickr","Services, Services - Photos","18827.862","8.387","100","100","100","922.772","166.491","420.307","34987.854","4.759","1.858"
"","[S](U)","                FLICKR.COM","Services, Services - Photos","18827.862","8.387","100","100","100","922.772","166.491","420.307","34987.854","4.759","1.858"
"","[C]","            Yahoo Profile","Social Media - Social Networking, Social Media","18516.395","8.249","100","100","100","1144.855","20.111","51.346","37096.971","0.542","2.003"
"","[C](U)","            Yahoo Shopping","Retail, Retail - Comparison Shopping","17164.068","7.646","100","100","100","1007.638","34.521","50.565","31128.304","1.109","1.814"
"","[S](U)","                Yahoo U.S. Shopping","Retail - Comparison Shopping, Retail","16406.181","7.309","100","100","100","995.24","33.804","48.844","30744.861","1.099","1.874"
"","[S]","                Yahoo Taiwan Shopping","Retail - Comparison Shopping, Retail","160.558","0.072","100","100","100","7.997","0.479","1.404","245.731","1.95","1.53"
"","[G]","                    Yahoo Taiwan Buy","Retail, Retail - Comparison Shopping","142.011","0.063","100","100","100","6.749","0.43","1.313","207.46","2.072","1.461"
"","[S]","                Yahoo Japan Shopping","Retail - Comparison Shopping, Retail","75.809","0.034","100","100","100","3.566","0.206","0.279","111.318","1.851","1.468"
